iter	Passed	Remaining
398	156728	78953
399	157118	78559
400	157527	78174
401	157928	77785
402	158363	77413
403	158790	77036
404	159193	76648
405	159583	76254
406	160064	75902
407	160516	75536
408	160966	75170
409	161372	74782
410	161765	74388
411	162170	74000
412	162571	73610
413	162976	73221
414	163368	72826
415	163795	72448
416	164199	72058
417	164631	71681
418	165041	71294
419	165439	70902
420	165849	70515
421	166265	70131
422	166652	69733
423	167040	69337
424	167428	68941
425	167815	68544
426	168210	68150
427	168588	67750
428	168982	67356
429	169384	66965
430	169781	66573
431	170182	66182
432	170600	65797
433	171002	65406
434	171398	65013
435	171793	64619
436	172182	64223
437	172566	63826
438	172956	63430
439	173377	63046
440	173787	62658
441	174247	62287
442	174664	61901
443	175075	61513
444	175470	61118
445	175875	60728
446	176265	60332
447	176657	59937
448	177053	59543
449	177469	59156
450	177870	58764
451	178287	58377
452	178695	57987
453	179086	57591
454	179485	57198
455	179886	56806
456	180283	56412
457	180682	56019
458	181073	55623
459	181460	55227
460	181851	54831
461	182237	54434
462	182647	54044
463	183052	53653
464	183445	53258
465	183835	52862
466	184258	52476
467	184687	52091
468	185078	51695
469	185474	51301
470	185866	50906
471	186278	50516
472	186681	50123
473	187078	49729
474	187470	49334
475	187863	48939
476	188257	48544
477	188666	48153
478	189065	47759
479	189468	47367
480	189881	46976
481	190339	46597
482	190757	46208
483	191151	45813
484	191555	45420
485	191950	45025
486	192349	44631
487	192741	44235
488	193148	43843
489	193551	43450
490	193953	43056
491	194364	42665
492	194754	42269
493	195152	41874
494	195550	41480
495	195951	41086
496	196353	40692
497	196760	40300
498	197158	39905
499	197567	39513
500	197983	39122
501	198393	38730
502	198799	38336
503	199240	37950
504	199675	37562
505	200080	37169
506	200529	36783
507	200966	36395
508	201359	35999
509	201786	35609
510	202208	35218
511	202655	34831
512	203072	34439
513	203473	34044
514	203876	33649
515	204274	33253
516	204681	32859
517	205103	32468
518	205513	32074
519	205918	31679
520	206352	31289
521	206753	30894
522	207153	30498
523	207544	30101
524	207962	29708
525	208386	29316
526	208782	28920
527	209216	28529
528	209614	28133
529	210002	27736
530	210406	27341
531	210812	26945
532	211213	26550
533	211623	26155
534	212019	25759
535	212421	25363
536	212819	24967
537	213239	24574
538	213653	24179
539	214122	23791
540	214558	23399
541	214969	23004
542	215382	22609
543	215792	22213
544	216212	21819
545	216638	21425
546	217066	21032
547	217506	20639
548	217920	20243
549	218328	19848
550	218754	19453
551	219169	19058
552	219602	18664
553	220012	18268
554	220424	17872
555	220833	17476
556	221252	17080
557	221658	16683
558	222094	16289
559	222507	15893
560	222935	15498
561	223380	15104
562	223807	14708
563	224222	14312
564	224619	13914
565	225026	13517
566	225430	13120
567	225835	12723
568	226242	12326
569	226642	11928
570	227048	11531
571	227454	11134
572	227859	10736
573	228260	10339
574	228669	9942
575	229071	9544
576	229480	9147
577	229909	8750
578	230315	8353
579	230727	7956
580	231143	7558
581	231555	7161
582	231966	6764
583	232381	6366
584	232791	5969
585	233193	5571
586	233604	5173
587	234012	4775
588	234418	4377
589	234821	3980
590	235229	3582
591	235643	3184
592	236063	2786
593	236468	2388
594	236885	1990
595	237311	1592
596	237737	1194
597	238187	796
598	238610	398
599	239030	0
