iter	MultiClass
0	1.037693624
1	0.9908133953
2	0.9495809868
3	0.9163447688
4	0.889396323
5	0.8647760255
6	0.8438306977
7	0.8257076743
8	0.8091200186
9	0.7945102266
10	0.781922697
11	0.7716447082
12	0.7621674893
13	0.7536016137
14	0.7457884985
15	0.7393168049
16	0.7334482786
17	0.7279714418
18	0.7227920299
19	0.7182479251
20	0.7135337734
21	0.7098158475
22	0.7057775762
23	0.7025586753
24	0.6998635917
25	0.6968558156
26	0.6942038511
27	0.6917679826
28	0.6896680301
29	0.6871400295
30	0.6851785366
31	0.6837182953
32	0.6818210719
33	0.6802352989
34	0.6782950127
35	0.6771430825
36	0.6755275127
37	0.6739530739
38	0.6724396571
39	0.6707024254
40	0.6695187781
41	0.6681340395
42	0.6671917739
43	0.6660463375
44	0.6649386383
45	0.6635214064
46	0.6624097751
47	0.6613862655
48	0.6601640778
49	0.6592286852
50	0.6579421671
51	0.6572188865
52	0.6559394063
53	0.654943761
54	0.6541272364
55	0.6531625482
56	0.6521832795
57	0.6510259831
58	0.6501787986
59	0.6492431035
60	0.6483907301
61	0.6473177585
62	0.6463854484
63	0.6457532251
64	0.6451494472
65	0.6444338887
66	0.6436873637
67	0.642447359
68	0.641711837
69	0.6405940852
70	0.6400887595
71	0.6390005356
72	0.6376885525
73	0.6368893085
74	0.6361389014
75	0.6354951963
76	0.6349324349
77	0.6339418538
78	0.6333945976
79	0.6327698265
80	0.6320762009
81	0.6309000793
82	0.6301139216
83	0.6294669582
84	0.6288764907
85	0.6284838455
86	0.627624137
87	0.6270984166
88	0.6262954824
89	0.6256551084
90	0.6244869759
91	0.6237190932
92	0.6229450925
93	0.6222300194
94	0.6217343539
95	0.6207607519
96	0.6202876487
97	0.619640237
98	0.6193142784
99	0.6186673793
100	0.61788849
101	0.6174983882
102	0.616644635
103	0.6162028806
104	0.6153965481
105	0.6147987045
106	0.6141094159
107	0.6133947938
108	0.6127714159
109	0.6119585765
110	0.6111252315
111	0.6103304371
112	0.6100118979
113	0.6092570627
114	0.6088736006
115	0.6083015503
116	0.6075606922
117	0.606974006
118	0.6062767911
119	0.6057805346
120	0.6052536464
121	0.6046060838
122	0.6042085996
123	0.6039541445
124	0.603522147
125	0.6028564293
126	0.6022295488
127	0.6017527911
128	0.6012062801
129	0.6005331639
130	0.5998146682
131	0.5989402973
132	0.5984123701
133	0.5978796388
134	0.5971345067
135	0.5966497322
136	0.596125741
137	0.5956804263
138	0.5952319343
139	0.5947219697
140	0.5941149951
141	0.593704015
142	0.5931833564
143	0.5926723015
144	0.5920926898
145	0.5916898307
146	0.5912115672
147	0.5904963793
148	0.5900928111
149	0.5895104407
150	0.5890098448
151	0.5885183361
152	0.588055619
153	0.5872708702
154	0.5868129004
155	0.5864973358
156	0.5861216821
157	0.5856263725
158	0.5849259568
159	0.5846509241
160	0.5841573353
161	0.5837989893
162	0.5832123626
163	0.5827576742
164	0.5823199038
165	0.5820863841
166	0.5816765245
167	0.5811580847
168	0.5807379526
169	0.580144824
170	0.5798471403
171	0.5795090448
172	0.5789821171
173	0.5786160657
174	0.5782471833
175	0.5777724762
176	0.5774995155
177	0.5771097152
178	0.576482714
179	0.5761614856
180	0.5756567931
181	0.5751336742
182	0.5747159373
183	0.5741533819
184	0.5735157069
185	0.5731408797
186	0.5729105179
187	0.5725516929
188	0.572109816
189	0.5717627289
190	0.5715141072
191	0.5710108586
192	0.5705943716
193	0.5701857573
194	0.5699538567
195	0.5696432366
196	0.5692382649
197	0.5686254152
198	0.5684389181
199	0.5679554292
200	0.5676941162
201	0.5674191874
202	0.5671786073
203	0.5668503785
204	0.5662039615
205	0.5658961384
206	0.5655244159
207	0.5651172793
208	0.5647058105
209	0.5644896033
210	0.5642352981
211	0.5638695222
212	0.5636323937
213	0.5632345428
214	0.5629572742
215	0.5622039419
216	0.5619042497
217	0.5615321372
218	0.5611530789
219	0.5606003023
220	0.5599567285
221	0.5596810309
222	0.5594520201
223	0.5589586919
224	0.5585726114
225	0.5581382421
226	0.5578362125
227	0.557560954
228	0.5573001402
229	0.5567666609
230	0.5563576728
231	0.5559844998
232	0.5555594868
233	0.5552063143
234	0.554982875
235	0.5545572051
236	0.5541110735
237	0.5537332993
238	0.5532992532
239	0.5530345071
240	0.5528037219
241	0.5525514273
242	0.5522012771
243	0.5517274552
244	0.5512927028
245	0.5508279793
246	0.5504817496
247	0.5501405438
248	0.5499721739
249	0.5497881626
250	0.5493497934
251	0.5488937623
252	0.5485890019
253	0.5482870642
254	0.5479926001
255	0.5476424973
256	0.5474090601
257	0.5470404982
258	0.5468078949
259	0.5465623963
260	0.5460969342
261	0.5458046644
262	0.5454760125
263	0.5452441387
264	0.5449300957
265	0.5446495321
266	0.5441617232
267	0.5436018956
268	0.5432575476
269	0.5429087964
270	0.5424415491
271	0.5423001465
272	0.5418815421
273	0.5415065368
274	0.5411028601
275	0.5406432266
276	0.540139255
277	0.5399054139
278	0.5396208571
279	0.5392372709
280	0.5389190688
281	0.5387198843
282	0.5384707559
283	0.5382083359
284	0.5380202795
285	0.5376195611
286	0.5373436855
287	0.5370495671
288	0.5365914425
289	0.5362550327
290	0.535915966
291	0.5355251027
292	0.5353098512
293	0.5351092907
294	0.5347691619
295	0.53458766
296	0.5343067413
297	0.5340278803
298	0.5337436582
299	0.5334581984
300	0.5332502957
301	0.5329652464
302	0.5325986837
303	0.5323549128
304	0.5320831821
305	0.5317701396
306	0.5314911607
307	0.5310884799
308	0.5307902283
309	0.5304274808
310	0.53009517
311	0.5299431376
312	0.5297292908
313	0.529425906
314	0.529189228
315	0.5287615431
316	0.5285868347
317	0.5281161895
318	0.5279673314
319	0.5275191666
320	0.5273288634
321	0.5270292704
322	0.5266569702
323	0.5263400356
324	0.526063323
325	0.5257857246
326	0.5256165175
327	0.5252283301
328	0.5250465839
329	0.5249014063
330	0.5246241625
331	0.524419478
332	0.5242401912
333	0.5239692079
334	0.5237638763
335	0.5235892377
336	0.5232556322
337	0.5230467648
338	0.5227354529
339	0.5225005635
340	0.5221324263
341	0.5219440952
342	0.5217513439
343	0.5214833309
344	0.5212059577
345	0.5208676821
346	0.5206037235
347	0.5203930157
348	0.5200378301
349	0.5196812898
350	0.5193472889
351	0.5190051639
352	0.5188225059
353	0.5185265057
354	0.5182576708
355	0.5178343448
356	0.5176287099
357	0.5173363431
358	0.5170723795
359	0.5168021857
360	0.5166236453
361	0.5163636536
362	0.5161412366
363	0.5158947932
364	0.5154333229
365	0.5151174041
366	0.5147829284
367	0.5144714057
368	0.5142550333
369	0.5139998603
370	0.5137195878
371	0.5135212812
372	0.5131009557
373	0.5128086539
374	0.5123385459
375	0.5119243067
376	0.5116630623
377	0.511256116
378	0.5109357651
379	0.5107363775
380	0.5104390893
381	0.510231778
382	0.5099868869
383	0.5097488235
384	0.5093659089
385	0.5091339099
386	0.508965973
387	0.5085943917
388	0.5083452859
389	0.5082183756
390	0.5079226596
391	0.5076967994
392	0.5074789004
393	0.5071906589
394	0.5069213504
395	0.5066900166
396	0.5064199546
397	0.5061492805
398	0.5058962949
399	0.5057146985
400	0.5054971537
401	0.5053230642
402	0.5048996385
403	0.50461833
404	0.5043342232
405	0.5040414115
406	0.5038128624
407	0.5036118071
408	0.5033774025
409	0.5031828753
410	0.5029128272
411	0.5026123204
412	0.5023541284
413	0.5020836874
414	0.5018463504
415	0.5016846811
416	0.5014791211
417	0.5011270666
418	0.5008864745
419	0.500722622
420	0.5004894338
421	0.5002652503
422	0.5000990822
423	0.4998708188
424	0.4996577645
425	0.4994215103
426	0.4990263469
427	0.4988000711
428	0.4984951629
429	0.4981807945
430	0.4978684309
431	0.4975961717
432	0.4973089952
433	0.4969815585
434	0.4967289644
435	0.4964184157
436	0.4962088269
437	0.4960331692
438	0.4959144795
439	0.4956302831
440	0.4952722125
441	0.4949806861
442	0.4947233608
443	0.4943900782
444	0.4942016203
445	0.4939676473
446	0.4937350885
447	0.4935219333
448	0.493288387
449	0.4930755149
450	0.4926747997
451	0.4924924673
452	0.4922884215
453	0.4920835042
454	0.4918770732
455	0.4916576705
456	0.4914237525
457	0.4910038833
458	0.4908167723
459	0.4905804822
460	0.4904164524
461	0.4902806423
462	0.4901035019
463	0.4899962272
464	0.4898213197
465	0.4897367395
466	0.48952049
467	0.4892987316
468	0.4890041635
469	0.4888335115
470	0.4884244166
471	0.4881840611
472	0.487985119
473	0.4876178284
474	0.4874569597
475	0.4872398538
476	0.487041452
477	0.4867255615
478	0.4863790002
479	0.4860938904
480	0.4859128479
481	0.4857412857
482	0.4854671696
483	0.485197707
484	0.484925651
485	0.4846297861
486	0.4845149503
487	0.484301995
488	0.4839122841
489	0.4836917391
490	0.4834571714
491	0.4832359711
492	0.4829952233
493	0.4827041325
494	0.4825804092
495	0.4823302686
496	0.4821488453
497	0.4819928367
498	0.481809692
499	0.4815382651
500	0.4813953323
501	0.4811493362
502	0.4809455792
503	0.4806972505
504	0.4805000886
505	0.4803536195
506	0.4801546669
507	0.4798627956
508	0.4797065566
509	0.4795080266
510	0.4793393539
511	0.4791816096
512	0.4789545451
513	0.4787009798
514	0.4784373252
515	0.4782790224
516	0.4779708168
517	0.4776042763
518	0.4773542202
519	0.4772181812
520	0.477023909
521	0.4768590858
522	0.4766533825
523	0.4765032025
524	0.4763017931
525	0.4760375294
526	0.4758348999
527	0.475723317
528	0.4755382663
529	0.4753864619
530	0.4751531919
531	0.4748681325
532	0.4746344008
533	0.4744394023
534	0.4742542269
535	0.4740469998
536	0.4738473664
537	0.4736603575
538	0.4734811957
539	0.473243773
540	0.4731070008
541	0.4729101345
542	0.4727123518
543	0.4725502116
544	0.4723856525
545	0.4721429184
546	0.4719719111
547	0.4717510582
548	0.4716401163
549	0.4713013092
550	0.4710752078
551	0.4708691178
552	0.4707358176
553	0.4705638924
554	0.4703755989
555	0.4701070958
556	0.4698806105
557	0.4696478674
558	0.4694670456
559	0.4692891532
560	0.4691023914
561	0.468825166
562	0.4686283119
563	0.4685341249
564	0.4683175371
565	0.4681337186
566	0.4679461555
567	0.4676973026
568	0.4674233199
569	0.4672325856
570	0.4669778363
571	0.4667932758
572	0.4666291978
573	0.4664068876
574	0.4660605454
575	0.4659016111
576	0.4657509317
577	0.4654805521
578	0.4653611739
579	0.4652371782
580	0.4650313347
581	0.4649319381
582	0.4647170252
583	0.46445106
584	0.4642168601
585	0.4641090633
586	0.4639301332
587	0.4636989623
588	0.4634923524
589	0.4633373982
590	0.4631739087
591	0.4629514038
592	0.4626918122
593	0.4625136537
594	0.4622589882
595	0.4621132494
596	0.4619424888
597	0.4617695737
598	0.4615085325
599	0.4613114003
